Index,Source,URL,Description,TL,TR,Reliability_Level,source_database
30,WHO AFRO Surveillance Report (UID: 20821),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20821.csv,JHU cholera database entry with 5 observations. Frequency: Other (18). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-03-04,1,JHU
31,JHU Cholera Database (UID: 11985),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection11985.csv,JHU cholera database entry with 1 observations. Frequency: Other (169). Updated: 2024-02-09,2006-01-01,2006-06-19,2,JHU
32,WHO AFRO Surveillance Report (UID: 20797),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20797.csv,JHU cholera database entry with 7 observations. Frequency: Other (16). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-02-03,1,JHU
33,JHU Cholera Database (UID: 12015),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection12015.csv,JHU cholera database entry with 1 observations. Frequency: Other (156). Updated: 2024-02-09,2006-01-01,2006-06-06,2,JHU
34,JHU Cholera Database (UID: 12031),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection12031.csv,JHU cholera database entry with 1 observations. Frequency: Other (135). Updated: 2024-02-09,2006-01-01,2006-05-16,2,JHU
35,JHU Cholera Database (UID: 5013),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection5013.csv,JHU cholera database entry with 1 observations. Frequency: Other (13). Updated: 2024-02-09,2017-12-01,2017-12-14,2,JHU
36,JHU Cholera Database (UID: 830),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection830.csv,JHU cholera database entry with 2 observations. Frequency: Other (129). Updated: 2024-02-09,2013-02-01,2013-06-10,2,JHU
37,WHO AFRO Surveillance Report (UID: 20545),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20545.csv,JHU cholera database entry with 7 observations. Frequency: Other (127). Updated: 2024-02-09 Source tags: WHOafro,2016-12-01,2017-06-28,1,JHU
38,JHU Cholera Database (UID: 12032),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection12032.csv,JHU cholera database entry with 1 observations. Frequency: Other (115). Updated: 2024-02-09,2006-02-01,2006-05-27,2,JHU
39,WHO AFRO Surveillance Report (UID: 20929),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20929.csv,JHU cholera database entry with 4 observations. Frequency: Other (111). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-07-09,1,JHU
40,WHO AFRO Surveillance Report (UID: 20483),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20483.csv,JHU cholera database entry with 1 observations. Frequency: Other (107). Updated: 2024-02-09 Source tags: WHOafro,2017-01-04,2017-04-21,1,JHU
41,WHO AFRO Surveillance Report (UID: 20773),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection20773.csv,JHU cholera database entry with 2 observations. Frequency: Other (10). Updated: 2024-02-09 Source tags: WHOafro,2017-12-21,2018-01-10,1,JHU
42,WHO Annual Cholera Report (UID: 300),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Angola/ObservationCollection300.csv,JHU cholera database entry with 31 observations. Frequency: Annual. Updated: 2024-02-09 Source tags: WHOannual,1971-01-01,2021-12-31,1,JHU
