country,iso_code,gap_start,gap_end,gap_days,gap_years,geographic_level,search_priority,seasonal_context,preceding_outbreak_scale,following_outbreak_scale,preceding_location,following_location,country_coverage_pct,priority_score,priority_tier
Tanzania,TZA,2018-11-18,2022-05-18,1277,3.5,provincial,HIGH,post_rainy_to_pre_rainy,small,small,AFR::TZA::Mainland,AFR::TZA::Katavi,30.2,85,HIGH
Kenya,KEN,2019-06-16,2022-10-19,1221,3.34,provincial,HIGH,rainy_season_to_post_rainy,large,no_cases,AFR::KEN::(Coast##Mombasa|Eastern##Embu|Eastern##Machakos|Nairobi##Nairobi|North-Eastern##Garissa|North-Eastern##Mandera|North-Eastern##Wajir|Rift Valley##Kajiado|Rift Valley##Narok),AFR::KEN::KE-13,54.1,85,HIGH
Zimbabwe,ZWE,2019-03-10,2022-01-01,1028,2.81,national,HIGH,pre_rainy_to_dry_season,minimal,minimal,AFR::ZWE,AFR::ZMB,26.3,85,HIGH
Zambia,ZMB,2019-12-31,2022-01-01,732,2.0,national,HIGH,dry_season,moderate,small,AFR::ZMB,AFR::ZMB,29.0,85,HIGH
Uganda,UGA,2021-01-01,2023-01-01,730,2.0,national,HIGH,dry_season,moderate,small,AFR::UGA,AFR::UGA,34.3,85,HIGH
Togo,TGO,2021-12-31,2023-01-01,366,1.0,national,HIGH,dry_season,small,minimal,AFR::TGO,AFR::TGO,21.3,85,HIGH
Tanzania,TZA,2021-12-31,2023-01-01,366,1.0,national,HIGH,dry_season,small,large,AFR::TZA,AFR::TZA,30.2,85,HIGH
South Africa,ZAF,2023-03-04,2024-01-01,303,0.83,national,HIGH,pre_rainy_to_dry_season,minimal,minimal,AFR::ZAF,AFR::ZAF,33.1,85,HIGH
Togo,TGO,2023-12-17,2024-07-22,218,0.6,national,HIGH,dry_season_to_rainy_season,minimal,minimal,AFR::TGO,AFR::TGO,21.3,85,HIGH
South Sudan,SSD,2023-06-04,2024-01-01,211,0.58,national,HIGH,rainy_season_to_dry_season,small,moderate,AFR::SSD,AFR::SSD,31.9,85,HIGH
Kenya,KEN,2024-08-11,2025-02-10,183,0.5,national,HIGH,rainy_season_to_dry_season,moderate,small,AFR::KEN,AFR::KEN,54.1,85,HIGH
Zambia,ZMB,2024-06-30,2024-12-23,176,0.48,national,HIGH,rainy_season_to_dry_season,minimal,small,AFR::ZMB,AFR::ZMB,29.0,85,HIGH
Uganda,UGA,2024-05-19,2024-10-27,161,0.44,national,HIGH,pre_rainy_to_post_rainy,small,minimal,AFR::UGA,AFR::UGA,34.3,85,HIGH
Uganda,UGA,2023-09-03,2024-01-01,120,0.33,national,HIGH,rainy_season_to_dry_season,minimal,minimal,AFR::UGA,AFR::UGA,34.3,85,HIGH
Zimbabwe,ZWE,2024-06-30,2024-10-28,120,0.33,national,HIGH,rainy_season_to_post_rainy,minimal,minimal,AFR::ZWE,AFR::ZWE,26.3,85,HIGH
Togo,TGO,2016-09-18,2020-01-01,1200,3.29,national,HIGH,rainy_season_to_dry_season,minimal,small,AFR::TGO,AFR::TGO,21.3,80,HIGH
Somalia,SOM,2020-11-15,2023-01-01,777,2.13,provincial,HIGH,post_rainy_to_dry_season,no_cases,large,EMR::SOM::(Banaadir|Bay|Hiiraan|Lower Shabelle),EMR::SOM::Banaadir,25.0,80,HIGH
Mozambique,MOZ,2021-03-21,2022-09-12,540,1.48,provincial,HIGH,pre_rainy_to_rainy_season,large,small,AFR::MOZ::Cabo Delgado,AFR::MOZ::Niassa,31.7,80,HIGH
Democratic Republic of Congo,COD,2022-07-10,2023-10-13,460,1.26,provincial,HIGH,rainy_season_to_post_rainy,small,moderate,AFR::COD::Sud-Kivu,AFR::COD::Tanganyika,41.1,80,HIGH
Zimbabwe,ZWE,2022-01-19,2022-11-22,307,0.84,national,HIGH,dry_season_to_post_rainy,minimal,minimal,AFR::ZWE,AFR::ZWE,26.3,80,HIGH
Côte d'Ivoire,CIV,2022-06-05,2023-01-01,210,0.57,national,HIGH,rainy_season_to_dry_season,minimal,minimal,AFR::CIV,AFR::CIV,32.5,80,HIGH
Nigeria,NGA,2022-06-26,2023-01-01,189,0.52,national,HIGH,rainy_season_to_dry_season,small,large,AFR::NGA,AFR::NGA,41.2,80,HIGH
Benin,BEN,2023-02-19,2023-08-21,183,0.5,national,HIGH,dry_season_to_rainy_season,minimal,minimal,AFR::BEN,AFR::BEN,27.8,80,HIGH
Benin,BEN,2022-07-03,2023-01-01,182,0.5,national,HIGH,rainy_season_to_dry_season,minimal,minimal,AFR::BEN,AFR::BEN,27.8,80,HIGH
Democratic Republic of Congo,COD,2022-07-10,2023-01-01,175,0.48,national,HIGH,rainy_season_to_dry_season,small,major,AFR::COD,AFR::COD,41.1,80,HIGH
Zambia,ZMB,2022-07-31,2022-12-12,134,0.37,national,HIGH,rainy_season_to_dry_season,moderate,minimal,AFR::ZMB,AFR::ZMB,29.0,80,HIGH
Kenya,KEN,2022-05-22,2022-10-01,132,0.36,national,HIGH,pre_rainy_to_post_rainy,moderate,major,AFR::KEN,AFR::KEN,54.1,80,HIGH
Benin,BEN,2023-08-27,2023-12-18,113,0.31,national,HIGH,rainy_season_to_dry_season,minimal,minimal,AFR::BEN,AFR::BEN,27.8,80,HIGH
Burkina Faso,BFA,2021-09-19,2022-01-01,104,0.28,national,HIGH,rainy_season_to_dry_season,minimal,minimal,AFR::BFA,AFR::BFA,6.1,80,HIGH
Mozambique,MOZ,2024-07-21,2024-10-14,85,0.23,national,HIGH,rainy_season_to_post_rainy,small,minimal,AFR::MOZ,AFR::MOZ,31.7,80,HIGH
Cameroon,CMR,2024-08-25,2024-10-28,64,0.18,national,HIGH,rainy_season_to_post_rainy,no_cases,minimal,AFR::CMR,AFR::CMR,37.2,80,HIGH
Togo,TGO,2024-08-18,2024-10-14,57,0.16,national,HIGH,rainy_season_to_post_rainy,minimal,small,AFR::TGO,AFR::TGO,21.3,80,HIGH
Uganda,UGA,2024-11-24,2025-01-06,43,0.12,national,HIGH,post_rainy_to_dry_season,minimal,small,AFR::UGA,AFR::UGA,34.3,80,HIGH
Kenya,KEN,2024-02-25,2024-04-01,36,0.1,national,HIGH,dry_season_to_pre_rainy,small,small,AFR::KEN,AFR::KEN,54.1,80,HIGH
