iso_code,country,coverage_pct,data_span,search_priority,missing_recent_years,priority_periods,total_observations,meaningful_observations,earliest_date,latest_date,data_sources,jhu_observations,who_observations,ai_observations,major_gaps
SLE,Sierra Leone,12.3,1970-2018,HIGH,"2019, 2020, 2021, 2022, 2023, 2024, 2025",2018-05-13 to 2018-06-11,58949,3284,1970-01-01,2018-06-17,21,58949,0,0,13
CAF,Central African Republic,16.7,1997-2023,HIGH,"2020, 2021, 2023, 2024, 2025",2019-02-24 to 2022-01-03,17152,48,1997-01-01,2023-01-01,5,17152,0,0,6
TGO,Togo,21.3,1970-2025,HIGH,"2018, 2019, 2022",2024-12-29 to 2025-01-06,4791,262,1970-01-01,2025-03-09,9,4724,67,0,15
AGO,Angola,21.5,1971-2025,HIGH,"2020, 2021, 2022, 2023, 2024",2019-01-20 to 2025-01-06,603,517,1971-01-01,2025-06-01,41,582,21,0,16
NER,Niger,22.0,1970-2024,HIGH,"2019, 2020, 2022, 2023, 2025",2024-08-11 to 2024-08-27,5550,778,1970-01-01,2024-09-24,39,5550,0,0,27
ETH,Ethiopia,24.5,1970-2025,HIGH,None,2024-12-15 to 2024-12-23,706,649,1970-01-01,2025-06-01,50,580,126,0,23
SOM,Somalia,25.0,1970-2025,HIGH,None,2020-11-15 to 2021-01-01,862,803,1970-01-01,2025-06-01,33,736,126,0,19
ZWE,Zimbabwe,26.3,1973-2025,HIGH,"2020, 2021",2025-05-18 to 2025-05-26,1233,1077,1973-01-01,2025-06-01,70,1113,120,0,23
BEN,Benin,27.8,1970-2024,HIGH,"2018, 2025",2023-12-24 to 2024-01-01,14943,560,1970-01-01,2024-03-31,18,14943,0,0,38
ZMB,Zambia,29.0,1977-2025,HIGH,"2020, 2021",2025-04-20 to 2025-05-12,2098,1054,1977-01-01,2025-05-18,74,1975,123,0,20
TZA,Tanzania,30.2,1974-2025,HIGH,2020,2023-12-10 to 2023-12-18,2109,1875,1974-01-01,2025-05-25,95,1986,123,0,17
LBR,Liberia,30.6,1970-2024,HIGH,2025,2021-12-12 to 2022-01-01,3545,965,1970-01-01,2024-03-31,11,3545,0,0,54
MOZ,Mozambique,31.7,1973-2025,HIGH,None,2024-12-29 to 2025-01-27,726,654,1973-01-01,2025-06-01,55,600,126,0,32
SSD,South Sudan,31.9,2006-2025,HIGH,"2018, 2019, 2020, 2021",2023-06-04 to 2024-01-01,1052,840,2006-01-28,2025-06-08,55,1000,52,0,13
CIV,Côte d'Ivoire,32.5,1970-2023,HIGH,"2020, 2024, 2025",2022-06-05 to 2023-01-01,1010,270,1970-01-01,2023-09-24,6,1010,0,0,48
ZAF,South Africa,33.1,1973-2024,HIGH,"2019, 2020, 2021, 2025",2023-03-04 to 2024-01-01,261,237,1973-01-01,2024-11-24,27,261,0,0,13
BDI,Burundi,33.2,1978-2025,HIGH,None,2025-04-13 to 2025-04-21,34530,1194,1978-01-01,2025-05-25,25,34405,125,0,34
UGA,Uganda,34.3,1971-2025,HIGH,2022,2025-03-09 to 2025-03-24,8790,1651,1971-01-01,2025-03-30,57,8702,88,0,58
GNB,Guinea-Bissau,35.4,1986-2014,HIGH,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2013-07-22 to 2014-01-01,7713,376,1986-01-01,2014-12-31,17,7713,0,0,8
GHA,Ghana,36.3,1970-2025,HIGH,"2020, 2022, 2023",2025-04-20 to 2025-04-28,692,283,1970-01-01,2025-05-04,34,655,37,0,36
CMR,Cameroon,37.2,1971-2024,HIGH,2025,2021-09-19 to 2021-10-01,232175,8741,1971-01-01,2024-11-24,47,232175,0,0,67
COD,Democratic Republic of Congo,41.1,1978-2025,HIGH,None,2022-07-10 to 2023-01-01,14425,9174,1978-01-01,2025-05-25,87,14300,125,0,10
NGA,Nigeria,41.2,1970-2025,HIGH,None,2025-04-20 to 2025-05-05,75777,5195,1970-01-01,2025-05-11,87,75655,122,0,40
BWA,Botswana,53.6,2008-2009,HIGH,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2009-02-05 to 2009-02-24,19,5,2008-01-01,2009-12-31,3,19,0,0,2
KEN,Kenya,54.1,1971-2025,HIGH,None,2024-08-11 to 2025-02-10,1042,851,1971-01-01,2025-06-01,81,916,126,0,37
MWI,Malawi,99.1,2023-2025,LOW,"2018, 2019, 2020, 2021, 2022",2025-03-16 to 2025-03-24,119,104,2023-01-02,2025-03-30,3,0,119,0,3
