country,iso_code,gap_start,gap_end,gap_days,gap_years,geographic_level,search_priority,seasonal_context,preceding_outbreak_scale,following_outbreak_scale,preceding_location,following_location,country_coverage_pct,priority_score,priority_tier
Burundi,BDI,2018-12-26,2023-12-14,1814,4.97,municipal,HIGH,dry_season,minimal,moderate,AFR::BDI::Rumonge::Rumonge::Minago,AFR::BDI::Bujumbura Mairie::Bujumbura North Sanitary District::Kinama,33.2,75,HIGH
Zambia,ZMB,2019-04-03,2022-04-08,1101,3.01,municipal,HIGH,pre_rainy,minimal,minimal,AFR::ZMB::Northern::Mpulungu::Kapembwa Health Post,AFR::ZMB::Lusaka::Lusaka::Chelston::Levy CTC,29.0,75,HIGH
Kenya,KEN,2019-06-09,2022-05-03,1059,2.9,district,HIGH,rainy_season_to_pre_rainy,moderate,moderate,AFR::KEN::North-Eastern::Garissa,AFR::KEN::Nyanza::Kisumu,54.1,75,HIGH
Zimbabwe,ZWE,2019-03-10,2022-01-19,1046,2.86,district,HIGH,pre_rainy_to_dry_season,minimal,minimal,AFR::ZWE::Mashonaland Central::Shamva,AFR::ZWE::Masvingo::Chiredzi,26.3,75,HIGH
Zambia,ZMB,2019-05-31,2022-04-08,1043,2.86,district,HIGH,pre_rainy,small,minimal,AFR::ZMB::Northern::Mbala,AFR::ZMB::Lusaka::Lusaka,29.0,75,HIGH
Burundi,BDI,2020-11-15,2022-12-08,753,2.06,district,HIGH,post_rainy_to_dry_season,minimal,moderate,AFR::BDI::Cibitoke::Cibitoke Sanitary District,AFR::BDI::Bujumbura Rural::Isale,33.2,75,HIGH
Cameroon,CMR,2020-09-17,2022-05-20,610,1.67,district,HIGH,rainy_season_to_pre_rainy,minimal,small,AFR::CMR::South-West::Buea Health District,AFR::CMR::West::Mifi,37.2,75,HIGH
Democratic Republic of Congo,COD,2022-07-10,2023-10-13,460,1.26,district,HIGH,rainy_season_to_post_rainy,small,large,AFR::COD::Sud-Kivu::Fizi Health District,AFR::COD::Nord-Kivu::Nord-Kivu,41.1,75,HIGH
Somalia,SOM,2021-12-26,2023-01-02,372,1.02,district,HIGH,dry_season,small,moderate,AFR::SOM::Banaadir::Waaberi,AFR::SOM::Gedo::Dolow,25.0,75,HIGH
South Sudan,SSD,2023-12-31,2024-10-23,297,0.81,district,HIGH,dry_season_to_post_rainy,large,no_cases,AFR::SSD::Upper Nile::Malakal,AFR::SSD::Upper Nile::Renk,31.9,75,HIGH
Burundi,BDI,2023-03-12,2023-12-14,277,0.76,provincial,HIGH,pre_rainy_to_dry_season,small,moderate,AFR::BDI::Cibitoke,AFR::BDI::Cibitoke,33.2,75,HIGH
Mozambique,MOZ,2023-03-19,2023-11-27,253,0.69,provincial,HIGH,pre_rainy_to_post_rainy,moderate,small,AFR::MOZ::Zambezia,AFR::MOZ::Tete,31.7,75,HIGH
Uganda,UGA,2023-08-31,2024-04-20,233,0.64,district,HIGH,rainy_season_to_pre_rainy,small,small,AFR::UGA::Kayunga::Kayunga,AFR::UGA::Masaka::Kyotera,34.3,75,HIGH
Nigeria,NGA,2022-06-26,2023-01-01,189,0.52,provincial,HIGH,rainy_season_to_dry_season,minimal,small,AFR::NGA::Gombe,AFR::NGA::Jigawa,41.2,75,HIGH
Tanzania,TZA,2022-07-31,2023-01-01,154,0.42,provincial,HIGH,rainy_season_to_dry_season,moderate,moderate,AFR::TZA::Katavi,AFR::TZA::Katavi,30.2,75,HIGH
Democratic Republic of Congo,COD,2023-11-13,2024-01-01,49,0.13,provincial,HIGH,post_rainy_to_dry_season,moderate,large,AFR::COD::Sud-Kivu,AFR::COD::Haut-Lomami,41.1,75,HIGH
Liberia,LBR,2008-01-11,2018-01-01,3643,9.97,provincial,HIGH,dry_season,no_cases,minimal,AFR::LBR::LR-GK,AFR::LBR::Rivercess,30.6,70,MEDIUM
Kenya,KEN,2009-12-19,2016-10-10,2487,6.81,provincial,HIGH,dry_season_to_post_rainy,large,moderate,AFR::KEN::Rift Valley,AFR::KEN::(Central##Kiambu|Central##Muranga|Coast##Mombasa|Coast##Tana River|Nairobi##Nairobi|North-Eastern##Garissa|Rift Valley##Kericho|Rift Valley##Nakuru|Rift Valley##Turkana|Western##Vihiga),54.1,70,MEDIUM
Chad,TCD,2011-04-05,2017-08-14,2323,6.36,provincial,HIGH,pre_rainy_to_rainy_season,large,moderate,AFR::TCD::Mayo-Kebbi-Est,AFR::TCD::(Salamat|Sila),11.0,70,MEDIUM
Zimbabwe,ZWE,2010-11-08,2017-01-02,2247,6.15,provincial,HIGH,post_rainy_to_dry_season,moderate,minimal,AFR::ZWE::Manicaland,AFR::ZWE::Masvingo,26.3,70,MEDIUM
Cameroon,CMR,2011-12-11,2018-01-22,2234,6.12,provincial,HIGH,dry_season,small,minimal,AFR::CMR::West,AFR::CMR::Littoral,37.2,70,MEDIUM
Sierra Leone,SLE,2012-02-29,2018-01-08,2140,5.86,provincial,HIGH,dry_season,large,minimal,AFR::SLE::(Northern##Kambia|Northern##Port Loko|Southern##Pujehun),AFR::SLE::Western Area,12.3,70,MEDIUM
Somalia,SOM,2015-05-17,2021-01-01,2056,5.63,municipal,HIGH,pre_rainy_to_dry_season,no_cases,small,AFR::SOM::Lower Juba::Afmadow::Dhobley,AFR::SOM::Puntland::Bari::Qardho,25.0,70,MEDIUM
Benin,BEN,2014-03-05,2019-07-01,1944,5.32,provincial,HIGH,pre_rainy_to_rainy_season,small,minimal,AFR::BEN::Atlantique,AFR::BEN::Atlantique,27.8,70,MEDIUM
Burundi,BDI,2011-09-14,2017-01-01,1936,5.3,provincial,HIGH,rainy_season_to_dry_season,moderate,small,AFR::BDI::(Bubanza|Bujumbura Rural|Bururi|Cibitoke|Makamba),AFR::BDI::Bubanza,33.2,70,MEDIUM
