Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
35,AFR::MWI,2017-12-18,2017-12-24,,31,,,2017-12-24,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases",JHU
36,AFR::MWI,2017-12-25,2017-12-31,,61,,,2017-12-31,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 61 cases",JHU
37,AFR::MWI,2018-01-01,2018-01-07,,46,,,2018-01-07,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 46 cases",JHU
38,AFR::MWI,2018-01-08,2018-01-14,,67,,,2018-01-14,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 67 cases",JHU
39,AFR::MWI,2018-01-15,2018-01-21,,23,,,2018-01-21,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases",JHU
40,AFR::MWI,2018-01-22,2018-01-28,,23,,,2018-01-28,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases",JHU
41,AFR::MWI,2018-01-29,2018-02-04,,74,,,2018-02-04,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 74 cases",JHU
42,AFR::MWI,2018-02-05,2018-02-11,,68,,,2018-02-11,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 68 cases",JHU
43,AFR::MWI,2018-02-12,2018-02-18,,96,,,2018-02-18,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 96 cases",JHU
44,AFR::MWI,2018-02-19,2018-02-25,,96,,,2018-02-25,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 96 cases",JHU
45,AFR::MWI,2018-02-26,2018-03-04,,76,,,2018-03-04,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 76 cases",JHU
46,AFR::MWI,2018-03-05,2018-03-11,,41,,,2018-03-11,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 41 cases",JHU
47,AFR::MWI,2018-03-12,2018-03-18,,55,,,2018-03-18,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 55 cases",JHU
48,AFR::MWI,2018-03-19,2018-03-25,,31,,,2018-03-25,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases",JHU
49,AFR::MWI,2018-03-26,2018-04-01,,30,,,2018-04-01,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 30 cases",JHU
50,AFR::MWI,2018-04-02,2018-04-08,,15,,,2018-04-08,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 15 cases",JHU
51,AFR::MWI,2018-04-09,2018-04-15,,15,,,2018-04-15,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 15 cases",JHU
52,AFR::MWI,2018-04-16,2018-04-22,,14,,,2018-04-22,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 14 cases",JHU
53,AFR::MWI,2018-04-23,2018-04-29,,11,,,2018-04-29,19,WHO AFRO Surveillance Report (UID: 20885),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases",JHU
54,AFR::MWI::Southern::Chikwawa,2017-07-01,2017-09-16,0,38,3,0.0,2017-09-16,17,WHO AFRO Surveillance Report (UID: 20674),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 38 cases, 0 deaths",JHU
55,AFR::MWI,2017-07-01,2017-09-16,0,38,3,0.0,2017-09-16,17,WHO AFRO Surveillance Report (UID: 20674),0.68,"Converted from JHU database. Primary: True, Phantom: True - JHU reported 38 cases, 0 deaths",JHU
56,AFR::MWI::Southern::Chikwawa,2017-09-11,2017-09-17,0,2,,0.0,2017-09-17,17,WHO AFRO Surveillance Report (UID: 20674),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2 cases, 0 deaths",JHU
57,AFR::MWI,2017-09-11,2017-09-17,0,2,,0.0,2017-09-17,17,WHO AFRO Surveillance Report (UID: 20674),0.68,"Converted from JHU database. Primary: True, Phantom: True - JHU reported 2 cases, 0 deaths",JHU
58,AFR::MWI::Central::Lilongwe,2001-01-01,2018-07-08,,11789,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11789 cases",JHU
59,AFR::MWI::Southern::Blantyre,2001-01-01,2018-07-08,,6959,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 6959 cases",JHU
60,AFR::MWI::Southern::Machinga,2001-01-01,2018-07-08,,4243,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 4243 cases",JHU
61,AFR::MWI::Southern::Chikwawa,2001-01-01,2018-07-08,,3860,,,2018-07-08,10,JHU Cholera Database (UID: 21230),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 3860 cases",JHU
